,Age,Borough,Interests,Biography
111,1,QUEENS,"['Food and Agriculture', 'Advocacy and Justice', 'Technology and Innovation']","['I am passionate about the food industry as I really like promoting healthy eating habits.', 'I am passionate about the food industry as I really like promoting healthy eating habits.', 'I want to make a difference in the world.', 'I helped with organising several conferences and workshops related to women rights', 'Helping people with technology is really cool to me.', 'Teaching basic internet applications to people and helping them with smart technology.']"
112,0,QUEENS,"['Advocacy and Justice', 'Recreation and Leisure']","['I helped with organising several conferences and workshops related to women rights', 'I want to make a difference in the world.', 'I think play and sports are important for children’s development.', 'I think play and sports are important for children’s development.']"
113,1,MANHATTAN,"['Recreation and Leisure', 'Technology and Innovation']","['Helping conduct swimming and other field games and mentoring team-spirit.', 'I want to host outdoor events in my community to promote active living.', 'I enjoy working with technological and electronic items as I am interested in learning about Robotics.', 'I participated as a guest speaker in a webinar about machine learning.']"
114,2,BROOKLYN,['Advocacy and Justice'],"['I volunteered at my local youth justice society assisting young people who have been in conflict with the law.', 'I want to organize events aimed to raise awareness to socio-economic inequalities within our society ']"
115,1,BRONX,['Advocacy and Justice'],"['I imagine standing up for people/animals less spoken for, through petitions and marches.', 'I want to make a difference in the world.']"
116,2,QUEENS,['Child services'],"['Helping children with vaccination drives and childcare facilities like crutch and daycare.', 'I provided support for the child and family during the child abuse investigation process.']"
117,1,BRONX,"['Environment and Climate change', 'Education', 'Social services']","['I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.', 'I want to help conduct a protest outside of the city centre to raise awareness for climate change.', 'At a summer bootcamp, I taught French to primary and secondary school students.', 'I would like to support less privileged people in their learning process and education supplies they can’t afford.', 'I sorted and tagged clothing donations for homeless people at Salvation army for three years.', 'I imagine helping and fostering senior citizens with their daily needs.']"
118,1,BRONX,"['Environment and Climate change', 'Child services', 'Health services']","['Environmental degradation needs to be stopped.', 'Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.', 'For two weeks during winter break, I volunteered full-time at a day care.', 'Helping children with vaccination drives and childcare facilities like crutch and daycare.', 'I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.', 'I worked as a nurse in a hospital during Covid when there was lack of workforce.']"
119,1,MANHATTAN,"['Education', 'Outreach and Advertising']","['I would like to support less privileged people in their learning process and education supplies they can’t afford.', 'At a summer bootcamp, I taught French to primary and secondary school students.', 'Throughout my university years, I was the outreach coordinator for my program.', 'I want to promote upcoming events hosted by local businesses or artists.']"
120,1,BROOKLYN,['Outreach and Advertising'],"['Throughout my university years, I was the outreach coordinator for my program.', 'Contributing in small startups and equipping people with the right resources.']"
121,1,BROOKLYN,"['Health services', 'Outreach and Advertising']","['I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.', 'I enjoy helping and caring for people within my community.', 'I like to engage in community service and help people advertise themselves to the public.', 'Worked as an outreach program coordinator for Edmonton Horticultural Society.']"
122,1,STATEN IS,"['Outreach and Advertising', 'Outreach and Advertising', 'Education']","['Contributing in small startups and equipping people with the right resources.', 'Throughout my university years, I was the outreach coordinator for my program.', 'I like to engage in community service and help people advertise themselves to the public.', 'I want to promote upcoming events hosted by local businesses or artists.', 'I would like to teach children subjects such as math and science.', 'I helped as a learning and development coordinator for AI4Good summer lab.']"
123,0,STATEN IS,"['Outreach and Advertising', 'Health services']","['I really want to interact with the public.', 'Throughout my university years, I was the outreach coordinator for my program.', 'I imagine helping with blood donations and helping make health resources accessible to patients.', 'I imagine helping with blood donations and helping make health resources accessible to patients.']"
124,2,BRONX,['Environment and Climate change'],"['I want to help conduct a protest outside of the city centre to raise awareness for climate change.', 'I want to help conduct a protest outside of the city centre to raise awareness for climate change.']"
125,1,BRONX,['Outreach and Advertising'],"['Worked as an outreach program coordinator for Edmonton Horticultural Society.', 'I want to promote upcoming events hosted by local businesses or artists.']"
126,1,BROOKLYN,"['Outreach and Advertising', 'Recreation and Leisure']","['I like to engage in community service and help people advertise themselves to the public.', 'Throughout my university years, I was the outreach coordinator for my program.', 'I want to host outdoor events in my community to promote active living.', 'I am really passionate about sports and want to teach them to other people.']"
127,1,BRONX,['Health services'],"['I enjoy helping and caring for people within my community.', 'I enjoy helping and caring for people within my community.']"
128,1,BROOKLYN,"['Technology and Innovation', 'Recreation and Leisure', 'Technology and Innovation']","['Helping people with technology is really cool to me.', 'I enjoy working with technological and electronic items as I am interested in learning about Robotics.', 'Last summer, I coached a U16 girls soccer team.', 'I worked as a guitarist in a local restaurant for six months.', 'Teaching basic internet applications to people and helping them with smart technology.', 'I participated as a guest speaker in a webinar about machine learning.']"
129,1,BRONX,"['Child services', 'Advocacy and Justice']","['For two weeks during winter break, I volunteered full-time at a day care.', 'I provided support for the child and family during the child abuse investigation process.', 'I want to make a difference in the world.', 'I imagine standing up for people/animals less spoken for, through petitions and marches.']"
130,1,QUEENS,"['Food and Agriculture', 'Child services']","['I worked as a farmer and mentor in Plainfield Heritage Farm.', 'I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.', 'For two weeks during winter break, I volunteered full-time at a day care.', 'I provided support for the child and family during the child abuse investigation process.']"
131,1,MANHATTAN,"['Health services', 'Social services', 'Health services']","['I worked as a nurse in a hospital during Covid when there was lack of workforce.', 'I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.', 'I sorted and tagged clothing donations for homeless people at Salvation army for three years.', 'I sorted and tagged clothing donations for homeless people at Salvation army for three years.', 'There isn’t equal access to medical services.', 'I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.']"
132,1,BROOKLYN,"['Outreach and Advertising', 'Advocacy and Justice']","['I really want to interact with the public.', 'I want to promote upcoming events hosted by local businesses or artists.', 'I want to organize events aimed to raise awareness to socio-economic inequalities within our society ', 'I want to organize events aimed to raise awareness to socio-economic inequalities within our society ']"
133,1,BROOKLYN,"['Child services', 'Food and Agriculture', 'Education']","['For two weeks during winter break, I volunteered full-time at a day care.', 'Helping children with vaccination drives and childcare facilities like crutch and daycare.', 'As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.', 'I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.', 'I helped as a learning and development coordinator for AI4Good summer lab.', 'At a summer bootcamp, I taught French to primary and secondary school students.']"
134,2,BROOKLYN,"['Advocacy and Justice', 'Recreation and Leisure']","['I want to organize events aimed to raise awareness to socio-economic inequalities within our society ', 'I helped with organising several conferences and workshops related to women rights', 'I want to host outdoor events in my community to promote active living.', 'I am really passionate about sports and want to teach them to other people.']"
135,1,BRONX,"['Social services', 'Recreation and Leisure']","['I imagine helping and fostering senior citizens with their daily needs.', 'I helped with preparing food for the homeless', 'I want to host outdoor events in my community to promote active living.', 'Helping conduct swimming and other field games and mentoring team-spirit.']"
136,1,MANHATTAN,"['Technology and Innovation', 'Health services', 'Environment and Climate change']","['I hope to salvage old computers and repurpose them into something new and usable.', 'Helping people with technology is really cool to me.', 'I worked as a nurse in a hospital during Covid when there was lack of workforce.', 'I imagine helping with blood donations and helping make health resources accessible to patients.', 'I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.', 'I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.']"
137,1,BROOKLYN,['Social services'],"['I really care about helping other people.', 'I helped with preparing food for the homeless']"
138,1,BROOKLYN,['Recreation and Leisure'],"['I am really passionate about sports and want to teach them to other people.', 'Helping conduct swimming and other field games and mentoring team-spirit.']"
139,1,QUEENS,['Child services'],"['It is so fun working with kids and I love playing with them.', 'For two weeks during winter break, I volunteered full-time at a day care.']"
140,1,BROOKLYN,['Recreation and Leisure'],"['Helping conduct swimming and other field games and mentoring team-spirit.', 'I worked as a guitarist in a local restaurant for six months.']"
141,0,BRONX,['Education'],"['I would like to teach children subjects such as math and science.', 'I would like to teach children subjects such as math and science.']"
142,0,QUEENS,"['Social services', 'Environment and Climate change']","['I sorted and tagged clothing donations for homeless people at Salvation army for three years.', 'I imagine helping and fostering senior citizens with their daily needs.', 'I participated in several nature cleaning activities.', 'I participated in several nature cleaning activities.']"
143,0,STATEN IS,['Environment and Climate change'],"['I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.', 'Environmental degradation needs to be stopped.']"
144,1,BROOKLYN,"['Health services', 'Food and Agriculture', 'Outreach and Advertising']","['I want to move patients from one location to another in the hospital', 'I want to move patients from one location to another in the hospital', 'I am passionate about the food industry as I really like promoting healthy eating habits.', 'I think everyone should have access to enough to eat to be healthy.', 'Worked as an outreach program coordinator for Edmonton Horticultural Society.', 'I want to promote upcoming events hosted by local businesses or artists.']"
145,1,MANHATTAN,"['Technology and Innovation', 'Food and Agriculture']","['I enjoy working with technological and electronic items as I am interested in learning about Robotics.', 'I was a guest panelist for a computer science and technology webinar.', 'I am passionate about the food industry as I really like promoting healthy eating habits.', 'I think everyone should have access to enough to eat to be healthy.']"
146,1,BROOKLYN,"['Health services', 'Social services']","['I enjoy helping and caring for people within my community.', 'I want to move patients from one location to another in the hospital', 'I would like to conduct social and psycho-social assessments', 'I imagine helping and fostering senior citizens with their daily needs.']"
147,1,BROOKLYN,"['Food and Agriculture', 'Environment and Climate change']","['I imagine serving free food and vegetables in our local community shop.', 'I worked as a farmer and mentor in Plainfield Heritage Farm.', 'I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.', 'I want to help conduct a protest outside of the city centre to raise awareness for climate change.']"
148,1,QUEENS,['Food and Agriculture'],"['I imagine serving free food and vegetables in our local community shop.', 'I imagine serving free food and vegetables in our local community shop.']"
149,0,BROOKLYN,['Outreach and Advertising'],"['I really want to interact with the public.', 'Worked as an outreach program coordinator for Edmonton Horticultural Society.']"
150,1,BROOKLYN,['Child services'],"['I provided support for the child and family during the child abuse investigation process.', 'I provided support for the child and family during the child abuse investigation process.']"
151,1,STATEN IS,"['Recreation and Leisure', 'Education', 'Advocacy and Justice']","['I worked as a guitarist in a local restaurant for six months.', 'Last summer, I coached a U16 girls soccer team.', 'I would like to support less privileged people in their learning process and education supplies they can’t afford.', 'I would like to support less privileged people in their learning process and education supplies they can’t afford.', 'I imagine standing up for people/animals less spoken for, through petitions and marches.', 'I take social issues such as gender discrimination very seriously and want to create an equitable society.']"
152,1,BROOKLYN,"['Recreation and Leisure', 'Food and Agriculture', 'Child services']","['I am really passionate about sports and want to teach them to other people.', 'I am really passionate about sports and want to teach them to other people.', 'I am passionate about the food industry as I really like promoting healthy eating habits.', 'As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.', 'Helping children with vaccination drives and childcare facilities like crutch and daycare.', 'Helping children with vaccination drives and childcare facilities like crutch and daycare.']"
153,1,STATEN IS,"['Outreach and Advertising', 'Environment and Climate change']","['I really want to interact with the public.', 'I really want to interact with the public.', 'I participated in several nature cleaning activities.', 'I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.']"
154,1,BROOKLYN,"['Recreation and Leisure', 'Social services', 'Social services']","['Helping conduct swimming and other field games and mentoring team-spirit.', 'I think play and sports are important for children’s development.', 'I helped with preparing food for the homeless', 'I imagine helping and fostering senior citizens with their daily needs.', 'I sorted and tagged clothing donations for homeless people at Salvation army for three years.', 'I helped with preparing food for the homeless']"
155,1,MANHATTAN,"['Environment and Climate change', 'Technology and Innovation', 'Advocacy and Justice']","['Environmental degradation needs to be stopped.', 'I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.', 'Teaching basic internet applications to people and helping them with smart technology.', 'I participated as a guest speaker in a webinar about machine learning.', 'I want to organize events aimed to raise awareness to socio-economic inequalities within our society ', 'I want to make a difference in the world.']"
156,1,QUEENS,"['Technology and Innovation', 'Technology and Innovation']","['I enjoy working with technological and electronic items as I am interested in learning about Robotics.', 'Teaching basic internet applications to people and helping them with smart technology.', 'I enjoy working with technological and electronic items as I am interested in learning about Robotics.', 'I was a guest panelist for a computer science and technology webinar.']"
157,1,BROOKLYN,"['Recreation and Leisure', 'Food and Agriculture', 'Outreach and Advertising']","['Last summer, I coached a U16 girls soccer team.', 'I worked as a guitarist in a local restaurant for six months.', 'I worked as a farmer and mentor in Plainfield Heritage Farm.', 'I am passionate about the food industry as I really like promoting healthy eating habits.', 'I want to promote upcoming events hosted by local businesses or artists.', 'I like to engage in community service and help people advertise themselves to the public.']"
158,1,QUEENS,"['Advocacy and Justice', 'Advocacy and Justice', 'Technology and Innovation']","['I volunteered at my local youth justice society assisting young people who have been in conflict with the law.', 'I want to make a difference in the world.', 'I helped with organising several conferences and workshops related to women rights', 'I helped with organising several conferences and workshops related to women rights', 'I hope to salvage old computers and repurpose them into something new and usable.', 'Helping people with technology is really cool to me.']"
159,1,MANHATTAN,['Food and Agriculture'],"['I am passionate about the food industry as I really like promoting healthy eating habits.', 'I imagine serving free food and vegetables in our local community shop.']"
160,0,BRONX,"['Technology and Innovation', 'Social services']","['Teaching basic internet applications to people and helping them with smart technology.', 'I participated as a guest speaker in a webinar about machine learning.', 'I imagine helping and fostering senior citizens with their daily needs.', 'I imagine helping and fostering senior citizens with their daily needs.']"
161,1,QUEENS,"['Food and Agriculture', 'Advocacy and Justice']","['As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.', 'I imagine serving free food and vegetables in our local community shop.', 'I imagine standing up for people/animals less spoken for, through petitions and marches.', 'I want to organize events aimed to raise awareness to socio-economic inequalities within our society ']"
162,1,BROOKLYN,"['Child services', 'Advocacy and Justice', 'Social services']","['I provided support for the child and family during the child abuse investigation process.', 'I provided support for the child and family during the child abuse investigation process.', 'I want to make a difference in the world.', 'I want to make a difference in the world.', 'I helped with preparing food for the homeless', 'I am passionate about ensuring that society has the services and facilities it needs to support people from different social and economic backgrounds.']"
163,1,STATEN IS,"['Technology and Innovation', 'Child services']","['I participated as a guest speaker in a webinar about machine learning.', 'Teaching basic internet applications to people and helping them with smart technology.', 'It is so fun working with kids and I love playing with them.', 'I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.']"
164,1,BRONX,"['Social services', 'Advocacy and Justice', 'Child services']","['I sorted and tagged clothing donations for homeless people at Salvation army for three years.', 'I really care about helping other people.', 'I helped with organising several conferences and workshops related to women rights', 'I helped with organising several conferences and workshops related to women rights', 'I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.', 'I provided support for the child and family during the child abuse investigation process.']"
165,1,BROOKLYN,"['Technology and Innovation', 'Food and Agriculture', 'Education']","['I participated as a guest speaker in a webinar about machine learning.', 'I enjoy working with technological and electronic items as I am interested in learning about Robotics.', 'I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.', 'I worked as a farmer and mentor in Plainfield Heritage Farm.', 'I helped as a learning and development coordinator for AI4Good summer lab.', 'I would like to support less privileged people in their learning process and education supplies they can’t afford.']"
166,1,BROOKLYN,['Recreation and Leisure'],"['I think play and sports are important for children’s development.', 'I want to host outdoor events in my community to promote active living.']"
167,2,QUEENS,['Recreation and Leisure'],"['I think play and sports are important for children’s development.', 'I worked as a guitarist in a local restaurant for six months.']"
168,0,BRONX,['Social services'],"['I really care about helping other people.', 'I imagine helping and fostering senior citizens with their daily needs.']"
169,1,BRONX,['Advocacy and Justice'],"['I imagine standing up for people/animals less spoken for, through petitions and marches.', 'I helped with organising several conferences and workshops related to women rights']"
170,1,QUEENS,"['Social services', 'Environment and Climate change', 'Education']","['I imagine helping and fostering senior citizens with their daily needs.', 'I am passionate about ensuring that society has the services and facilities it needs to support people from different social and economic backgrounds.', 'I volunteered as a facilitator for the Impact of Climate Change on Human Rights event.', 'Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.', 'I would like to support less privileged people in their learning process and education supplies they can’t afford.', 'I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.']"
171,1,QUEENS,"['Child services', 'Education']","['Helping children with vaccination drives and childcare facilities like crutch and daycare.', 'I provided support for the child and family during the child abuse investigation process.', 'I would like to teach children subjects such as math and science.', 'I helped as a learning and development coordinator for AI4Good summer lab.']"
172,1,QUEENS,['Child services'],"['I provided support for the child and family during the child abuse investigation process.', 'It is so fun working with kids and I love playing with them.']"
173,0,BROOKLYN,['Outreach and Advertising'],"['Contributing in small startups and equipping people with the right resources.', 'Contributing in small startups and equipping people with the right resources.']"
174,1,QUEENS,['Environment and Climate change'],"['I participated in several nature cleaning activities.', 'Environmental degradation needs to be stopped.']"
175,1,QUEENS,['Social services'],"['I imagine helping and fostering senior citizens with their daily needs.', 'I am passionate about ensuring that society has the services and facilities it needs to support people from different social and economic backgrounds.']"
176,1,BRONX,"['Recreation and Leisure', 'Education']","['I think play and sports are important for children’s development.', 'I worked as a guitarist in a local restaurant for six months.', 'I would like to support less privileged people in their learning process and education supplies they can’t afford.', 'At a summer bootcamp, I taught French to primary and secondary school students.']"
177,1,BROOKLYN,"['Recreation and Leisure', 'Education']","['Helping conduct swimming and other field games and mentoring team-spirit.', 'I am really passionate about sports and want to teach them to other people.', 'At a summer bootcamp, I taught French to primary and secondary school students.', 'I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.']"
178,1,BRONX,['Technology and Innovation'],"['I enjoy working with technological and electronic items as I am interested in learning about Robotics.', 'Helping people with technology is really cool to me.']"
179,0,BROOKLYN,"['Child services', 'Technology and Innovation', 'Health services']","['For two weeks during winter break, I volunteered full-time at a day care.', 'I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.', 'I was a guest panelist for a computer science and technology webinar.', 'I participated as a guest speaker in a webinar about machine learning.', 'I worked as a nurse in a hospital during Covid when there was lack of workforce.', 'I worked as a nurse in a hospital during Covid when there was lack of workforce.']"
180,1,BROOKLYN,"['Health services', 'Food and Agriculture']","['I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.', 'I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.', 'I worked as a farmer and mentor in Plainfield Heritage Farm.', 'I imagine serving free food and vegetables in our local community shop.']"
181,2,QUEENS,['Environment and Climate change'],"['I want to help conduct a protest outside of the city centre to raise awareness for climate change.', 'I participated in several nature cleaning activities.']"
182,1,BRONX,"['Environment and Climate change', 'Advocacy and Justice', 'Outreach and Advertising']","['Climate change is a global issue and I strongly believe in making Earth a sustainable planet.', 'I participated in several nature cleaning activities.', 'I want to make a difference in the world.', 'I take social issues such as gender discrimination very seriously and want to create an equitable society.', 'I really want to interact with the public.', 'Contributing in small startups and equipping people with the right resources.']"
183,1,BRONX,"['Food and Agriculture', 'Outreach and Advertising']","['I worked as a farmer and mentor in Plainfield Heritage Farm.', 'I imagine serving free food and vegetables in our local community shop.', 'I really want to interact with the public.', 'Throughout my university years, I was the outreach coordinator for my program.']"
184,2,MANHATTAN,['Recreation and Leisure'],"['I want to host outdoor events in my community to promote active living.', 'I am really passionate about sports and want to teach them to other people.']"
185,1,BRONX,"['Child services', 'Technology and Innovation', 'Social services']","['Helping children with vaccination drives and childcare facilities like crutch and daycare.', 'It is so fun working with kids and I love playing with them.', 'I was a guest panelist for a computer science and technology webinar.', 'I hope to salvage old computers and repurpose them into something new and usable.', 'I am passionate about ensuring that society has the services and facilities it needs to support people from different social and economic backgrounds.', 'I sorted and tagged clothing donations for homeless people at Salvation army for three years.']"
186,1,BRONX,"['Recreation and Leisure', 'Child services']","['I think play and sports are important for children’s development.', 'I worked as a guitarist in a local restaurant for six months.', 'I really care about making the world safer for kids.', 'I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.']"
187,1,MANHATTAN,"['Advocacy and Justice', 'Outreach and Advertising']","['I take social issues such as gender discrimination very seriously and want to create an equitable society.', 'I want to organize events aimed to raise awareness to socio-economic inequalities within our society ', 'Throughout my university years, I was the outreach coordinator for my program.', 'I really want to interact with the public.']"
188,2,BRONX,"['Food and Agriculture', 'Food and Agriculture']","['I imagine serving free food and vegetables in our local community shop.', 'I worked as a farmer and mentor in Plainfield Heritage Farm.', 'I enjoy creating different dishes for others to taste, so I hope to be a part of the open kitchen to cook meals for the community.', 'As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.']"
189,0,STATEN IS,"['Technology and Innovation', 'Education', 'Child services']","['Teaching basic internet applications to people and helping them with smart technology.', 'I was a guest panelist for a computer science and technology webinar.', 'I would like to teach children subjects such as math and science.', 'I believe everyone should have the right to go to school.', 'It is so fun working with kids and I love playing with them.', 'I want to coordinate living solutions for any child that is being mistreated or neglected; I help find them a new and safe home to go to.']"
190,0,QUEENS,"['Environment and Climate change', 'Social services']","['I participated in several nature cleaning activities.', 'I participated in several nature cleaning activities.', 'I sorted and tagged clothing donations for homeless people at Salvation army for three years.', 'I really care about helping other people.']"
191,1,STATEN IS,"['Child services', 'Child services', 'Technology and Innovation']","['I really care about making the world safer for kids.', 'For two weeks during winter break, I volunteered full-time at a day care.', 'For two weeks during winter break, I volunteered full-time at a day care.', 'Helping children with vaccination drives and childcare facilities like crutch and daycare.', 'Helping people with technology is really cool to me.', 'I hope to salvage old computers and repurpose them into something new and usable.']"
192,1,QUEENS,"['Social services', 'Social services']","['I would like to conduct social and psycho-social assessments', 'I helped with preparing food for the homeless', 'I helped with preparing food for the homeless', 'I would like to conduct social and psycho-social assessments']"
193,1,BROOKLYN,"['Health services', 'Technology and Innovation']","['I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.', 'I volunteered at St. Amant for two years where I assisted individuals living with developmental disabilities and autism.', 'Helping people with technology is really cool to me.', 'I participated as a guest speaker in a webinar about machine learning.']"
194,0,QUEENS,"['Food and Agriculture', 'Technology and Innovation', 'Education']","['I am passionate about the food industry as I really like promoting healthy eating habits.', 'As an active Serve and Grow volunteer, I planted, weeded, harvested and washed vegetables.', 'I was a guest panelist for a computer science and technology webinar.', 'I participated as a guest speaker in a webinar about machine learning.', 'I think everyone should have unrestricted access to education and be able to learn whatever they are passionate about.', 'I would like to teach children subjects such as math and science.']"
195,1,STATEN IS,"['Environment and Climate change', 'Recreation and Leisure']","['I want to help conduct a protest outside of the city centre to raise awareness for climate change.', 'I participated in several nature cleaning activities.', 'I think play and sports are important for children’s development.', 'I want to host outdoor events in my community to promote active living.']"
196,2,QUEENS,"['Recreation and Leisure', 'Technology and Innovation', 'Education']","['Last summer, I coached a U16 girls soccer team.', 'I worked as a guitarist in a local restaurant for six months.', 'I was a guest panelist for a computer science and technology webinar.', 'I participated as a guest speaker in a webinar about machine learning.', 'I helped as a learning and development coordinator for AI4Good summer lab.', 'I would like to support less privileged people in their learning process and education supplies they can’t afford.']"
197,1,STATEN IS,"['Outreach and Advertising', 'Outreach and Advertising']","['I like to engage in community service and help people advertise themselves to the public.', 'Worked as an outreach program coordinator for Edmonton Horticultural Society.', 'Throughout my university years, I was the outreach coordinator for my program.', 'Worked as an outreach program coordinator for Edmonton Horticultural Society.']"
198,1,BRONX,"['Environment and Climate change', 'Technology and Innovation']","['I participated in several nature cleaning activities.', 'Work with communities to actively dispose off garbage and to be conscious of Earth’s rising temperature and depleting vital resources.', 'I hope to salvage old computers and repurpose them into something new and usable.', 'Helping people with technology is really cool to me.']"
199,1,BROOKLYN,"['Recreation and Leisure', 'Health services']","['Last summer, I coached a U16 girls soccer team.', 'I want to host outdoor events in my community to promote active living.', 'I want to move patients from one location to another in the hospital', 'I want to move patients from one location to another in the hospital']"
